Day,Meal Type,Food,Regional Type,Food Type,Trimester
Sunday,Lunch,Vegtable Kurma,South Indian,Veg,Trimester 1
Sunday,Lunch,Paneer Curry,South Indian,Veg,Trimester 1
Friday,Breakfast,Rava Idli with Coconut Chutney,South Indian,Veg,Trimester 1
Friday,Breakfast,Fruit Bowl (banana + apple),South Indian,Veg,Trimester 1
Friday,Snack,Boiled Sweet Corn,South Indian,Veg,Trimester 1
Friday,Snack,Roasted Makhana,South Indian,Veg,Trimester 1
Friday,Snack,Steamed Sprouts Sundal,South Indian,Veg,Trimester 1
Friday,Lunch,Steamed Rice + Tomato Rasam,South Indian,Veg,Trimester 1
Friday,Lunch,Black Eyed Peas Curry (mild),South Indian,Veg,Trimester 1
Friday,Lunch,Brinjal Poriyal,South Indian,Veg,Trimester 1
Friday,Lunch,Sambar Rice,South Indian,Veg,Trimester 1
Saturday,Breakfast,Vegetable Upma,South Indian,Veg,Trimester 1
Saturday,Breakfast,Plain Dosa with Coconut Chutney,South Indian,Veg,Trimester 1
Saturday,Snack,Soaked Almonds (4–5),South Indian,Veg,Trimester 1
Saturday,Snack,Dried Apricot (2),South Indian,Veg,Trimester 1
Saturday,Snack,Coconut Water,South Indian,Veg,Trimester 1
Saturday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Saturday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 1
Saturday,Lunch,Bottle Gourd Poriyal,South Indian,Veg,Trimester 1
Saturday,Lunch,Beans,South Indian,Veg,Trimester 1
Saturday,Dinner,Plain Dosa,South Indian,Veg,Trimester 1
Saturday,Dinner,Semolina (Rava) Idli,South Indian,Veg,Trimester 1
Saturday,Dinner,Chapati,South Indian,Veg,Trimester 1
Saturday,Dinner,Parotta (small, oil-free),South Indian,Veg,Trimester 1
Saturday,Dinner,Drumstick Sambar,South Indian,Veg,Trimester 1
Saturday,Dinner,Carrot Sambar,South Indian,Veg,Trimester 1
Saturday,Dinner,Chickpea Curry,South Indian,Veg,Trimester 1
Saturday,Dinner,Kidney Beans Curry,South Indian,Veg,Trimester 1
Saturday,Dinner,Beetroot Poriyal,South Indian,Veg,Trimester 1
Sunday,Dinner,Mixed Vegetable Palya/Poriyal,South Indian,Veg,Trimester 1
Sunday,Dinner,Coconut Chutney,South Indian,Veg,Trimester 1
Sunday,Dinner,Tomato Chutney,South Indian,Veg,Trimester 1
Sunday,Dinner,Steamed Rice,South Indian,Veg,Trimester 1
Sunday,Dinner,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Sunday,Dinner,Plain Dal,South Indian,Veg,Trimester 1
Sunday,Dinner,Curd (side),South Indian,Veg,Trimester 1
Sunday,Dinner,Chapathi with paneer curry,South Indian,Veg,Trimester 1
Saturday,Dinner,Mixed Vegetable Soup,South Indian,Veg,Trimester 1
Saturday,Dinner,Fenugreek Greens Potato Curry (Methi Aloo),South Indian,Veg,Trimester 1
Saturday,Dinner,Finger Millet (Ragi) Roti,South Indian,Veg,Trimester 1
Saturday,Dinner,Chapati,South Indian,Veg,Trimester 1
Saturday,Dinner,Vegetable Kothu Parotta (mild, low oil),South Indian,Veg,Trimester 1
Saturday,Dinner,Parotta (small portion),South Indian,Veg,Trimester 1
Monday,Snack,Spinach Sambar,South Indian,Veg,Trimester 1
Monday,Snack,Soya Chunks Masala (dry),South Indian,Veg,Trimester 1
Monday,Lunch,Spiced Vegetable Curry,South Indian,Veg,Trimester 1
Monday,Lunch,Tamarind Rice,South Indian,Veg,Trimester 1
Monday,Snack,Buttermilk (Moru/Majjige),South Indian,Veg,Trimester 1
Tuesday,Breakfast,Sapota,South Indian,Veg,Trimester 1
Tuesday,Lunch,Lemon rice,South Indian,Veg,Trimester 1
Tuesday,Snack,Colocasia Masala (dry),South Indian,Veg,Trimester 1
Tuesday,Snack,Steamed Sprouts Salad,South Indian,Veg,Trimester 1
Tuesday,Snack,Spiced Lime Juice (Kulukki Sarbath – mild, no soda),South Indian,Veg,Trimester 1
Tuesday,Snack,Roasted Peanuts (small portion),South Indian,Veg,Trimester 1
Wednesday,Breakfast,Soaked Almonds,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Soaked Figs,South Indian,Veg,Trimester 1
Wednesday,Snack,Chettinad Mushroom Masala (dry, mild),South Indian,Veg,Trimester 1
Wednesday,Snack,Brinjal Fry (air-fried / shallow),South Indian,Veg,Trimester 1
Tuesday,Snack,Colocasia Masala (dry),South Indian,Veg,Trimester 1
Tuesday,Snack,Steamed Sprouts Salad,South Indian,Veg,Trimester 1
Tuesday,Snack,Kulukki Sarbath (spiced lime, mild, no soda),South Indian,Veg,Trimester 1
Tuesday,Snack,Roasted Peanuts (small portion),South Indian,Veg,Trimester 1
Tuesday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Tuesday,Lunch,Split Bengal Gram Vada,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable Poriyal (mixed),South Indian,Veg,Trimester 1
Wednesday,Breakfast,Soaked Almonds,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Soaked Figs,South Indian,Veg,Trimester 1
Wednesday,Snack,Chettinad Mushroom Masala (dry, mild),South Indian,Veg,Trimester 1
Wednesday,Snack,Brinjal Fry (shallow oil / air-fried),South Indian,Veg,Trimester 1
Wednesday,Snack,Kokum Sharbat (light, no soda),South Indian,Veg,Trimester 1
Wednesday,Snack,Black Chickpea Sundal (small portion),South Indian,Veg,Trimester 1
Wednesday,Lunch,Veg Biryani,South Indian,Veg,Trimester 1
Wednesday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 1
Wednesday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Wednesday,Lunch,Paneer Curry (mild),South Indian,Veg,Trimester 1
Thursday,Breakfast,Guava,South Indian,Veg,Trimester 1
Thursday,Snack,Curd (fresh),South Indian,Veg,Trimester 1
Thursday,Snack,Buttermilk (Moru),South Indian,Veg,Trimester 1
Sunday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Sunday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Sunday,Lunch,Drumstick Sambar,South Indian,Veg,Trimester 1
Thursday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Wednesday,Snack,Kokum Sharbat (light, no soda),South Indian,Veg,Trimester 1
Wednesday,Snack,Black Chickpea Sundal,South Indian,Veg,Trimester 1
Thursday,Breakfast,Mysore Bajji,South Indian,Veg,Trimester 1
Thursday,Snack,Ladies' Finger Palya/Poriyal,South Indian,Veg,Trimester 1
Thursday,Snack,Fenugreek Greens & Pigeon Pea Palya,South Indian,Veg,Trimester 1
Thursday,Snack,Buttermilk (Moru),South Indian,Veg,Trimester 1
Thursday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Thursday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Thursday,Lunch,Vegetable Poriyal (mixed),South Indian,Veg,Trimester 1
Friday,Breakfast,Rava Dosa,South Indian,Veg,Trimester 1
Friday,Snack,Cauliflower & Broccoli Curry,South Indian,Veg,Trimester 1
Friday,Snack,French fries,South Indian,Veg,Trimester 1
Friday,Snack,Roasted Capsicum (light),South Indian,Veg,Trimester 1
Friday,Snack,Finger Millet (Ragi) Roti,South Indian,Veg,Trimester 1
Friday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Friday,Lunch,Vegetable Rice,South Indian,Veg,Trimester 1
Friday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Saturday,Breakfast,Banana,South Indian,Veg,Trimester 1
Saturday,Snack,Muri Mixture,South Indian,Veg,Trimester 1
Saturday,Snack,Punugulu,South Indian,Veg,Trimester 1
Saturday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Saturday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Saturday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Saturday,Breakfast,Papaya (ripe fruit),South Indian,Veg,Trimester 1
Saturday,Snack,Vegetable Clear Soup (light),South Indian,Veg,Trimester 1
Saturday,Snack,Steamed Sprouts Salad,South Indian,Veg,Trimester 1
Saturday,Snack,Walnuts & Almonds (soaked, small portion),South Indian,Veg,Trimester 1
Saturday,Lunch,Brown Rice,South Indian,Veg,Trimester 1
Saturday,Lunch,Vegetable Kootu (mild),South Indian,Veg,Trimester 1
Saturday,Lunch,Beans & Carrot Poriyal,South Indian,Veg,Trimester 1
Monday,Breakfast,Utthapam,South Indian,Veg,Trimester 1
Monday,Snack,Vegetable Upma (small portion),South Indian,Veg,Trimester 1
Monday,Snack,Coconut water,South Indian,Veg,Trimester 1
Monday,Snack,Roasted Peanuts (small portion),South Indian,Veg,Trimester 1
Monday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Moong Dal Curry (mild),South Indian,Veg,Trimester 1
Monday,Lunch,Zucchini & Cabbage Poriyal,South Indian,Veg,Trimester 1
Tuesday,Breakfast,Set Dosa Bowl,South Indian,Veg,Trimester 1
Tuesday,Snack,Curd with Dates (light),South Indian,Veg,Trimester 1
Tuesday,Snack,Buttermilk (Moru),South Indian,Veg,Trimester 1
Tuesday,Lunch,Steamed Millet Rice (Ragi/Brown),South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Tuesday,Lunch,Drumstick & Beans Poriyal,South Indian,Veg,Trimester 1
Tuesday,Breakfast,Mango & Banana Fruit Bowl,South Indian,Veg,Trimester 1
Tuesday,Snack,Sweet Potato & Peas (light stir fry),South Indian,Veg,Trimester 1
Tuesday,Snack,Snake Gourd Poriyal (light),South Indian,Veg,Trimester 1
Tuesday,Snack,Chapati (small, light),South Indian,Veg,Trimester 1
Tuesday,Snack,Rasam (light, no spice),South Indian,Veg,Trimester 1
Tuesday,Snack,Buttermilk (Moru),South Indian,Veg,Trimester 1
Tuesday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Black Gram Curry (mild),South Indian,Veg,Trimester 1
Tuesday,Lunch,Vada (baked or air-fried, small portion),South Indian,Veg,Trimester 1
Sunday,Breakfast,Watermelon (ripe fruit),South Indian,Veg,Trimester 1
Sunday,Snack,Mini Rice Idli (light),South Indian,Veg,Trimester 1
Sunday,Snack,Bottle Gourd & Moong Dal Palya,South Indian,Veg,Trimester 1
Wednesday,Snack,Cucumber Raita (light),South Indian,Veg,Trimester 1
Sunday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Sunday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Sunday,Lunch,Drumstick & Beans Poriyal,South Indian,Veg,Trimester 1
Thursday,Breakfast,Pomegranate (ripe fruit),South Indian,Veg,Trimester 1
Thursday,Snack,Curd (fresh),South Indian,Veg,Trimester 1
Thursday,Snack,Buttermilk (Moru),South Indian,Veg,Trimester 1
Thursday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Thursday,Lunch,Vegetable Kootu (mild),South Indian,Veg,Trimester 1
Thursday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Thursday,Breakfast,Oats dosa,South Indian,Veg,Trimester 1
Thursday,Snack,Banana Chips,South Indian,Veg,Trimester 1
Thursday,Snack,Medu vada,South Indian,Veg,Trimester 1
Thursday,Snack,Curd (fresh),South Indian,Veg,Trimester 1
Thursday,Lunch,Veg pongal,South Indian,Veg,Trimester 1
Thursday,Lunch,Rasa Rice,South Indian,Veg,Trimester 1
Thursday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Friday,Breakfast,Soaked Walnuts & Dates (small portion),South Indian,Veg,Trimester 1
Sunday,Snack,Fruits,South Indian,Veg,Trimester 1
Sunday,Snack,Pigeon Pea Dal (light),South Indian,Veg,Trimester 1
Sunday,Snack,Fenugreek Greens Palya,South Indian,Veg,Trimester 1
Friday,Snack,Chips,South Indian,Veg,Trimester 1
Friday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Friday,Lunch,Chickpea Curry (mild),South Indian,Veg,Trimester 1
Saturday,Breakfast,Soaked Almonds & Raisins (small portion),South Indian,Veg,Trimester 1
Saturday,Snack,Steamed Sprouts Salad (light, small portion),South Indian,Veg,Trimester 1
Saturday,Snack,Drumstick Leaves Soup (thin, light),South Indian,Veg,Trimester 1
Saturday,Snack,Curd (fresh),South Indian,Veg,Trimester 1
Sunday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Sunday,Lunch,Vegetable Kurma (mild, coconut-based),South Indian,Veg,Trimester 1
Sunday,Lunch,Mixed Vegetable Poriyal (beans, carrot, cabbage),South Indian,Veg,Trimester 1
Saturday,Breakfast,Banana (ripe fruit) with Soaked Almonds,South Indian,Veg,Trimester 1
Saturday,Snack,Roasted Puffed Rice with Peanuts (small portion),South Indian,Veg,Trimester 1
Saturday,Snack,Lemon Water,South Indian,Veg,Trimester 1
Saturday,Snack,Curd,South Indian,Veg,Trimester 1
Saturday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Saturday,Lunch,Vegetable Kurma,South Indian,Veg,Trimester 1
Saturday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Monday,Breakfast,Banana (ripe) with Milk (small glass),South Indian,Veg,Trimester 1
Monday,Snack,Red Lentil Soup,South Indian,Veg,Trimester 1
Monday,Snack,Spinach & Ash Gourd Stir Fry (small portion),South Indian,Veg,Trimester 1
Sunday,Snack,Peanut Sundal (small portion),South Indian,Veg,Trimester 1
Sunday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Sunday,Lunch,Mixed Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Monday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Tuesday,Breakfast,Muskmelon (ripe fruit) with Soaked Walnuts,South Indian,Veg,Trimester 1
Tuesday,Snack,Green Gram Dal Soup,South Indian,Veg,Trimester 1
Tuesday,Snack,Beans & Carrot Stir Fry (small portion),South Indian,Veg,Trimester 1
Tuesday,Snack,Lemon Rasam (thin, light),South Indian,Veg,Trimester 1
Tuesday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Peanut & Onion Curry,South Indian,Veg,Trimester 1
Tuesday,Lunch,Tomato & Cucumber Salad (light),South Indian,Veg,Trimester 1
Wednesday,Breakfast,Mango (ripe fruit) with Soaked Almonds,South Indian,Veg,Trimester 1
Wednesday,Snack,Steamed Sprouts Salad,South Indian,Veg,Trimester 1
Wednesday,Snack,Vegetable Soup,South Indian,Veg,Trimester 1
Wednesday,Snack,Curd,South Indian,Veg,Trimester 1
Wednesday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Wednesday,Lunch,Vegetable Kurma (mild coconut-based),South Indian,Veg,Trimester 1
Wednesday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Thursday,Breakfast,Figs & Soaked Walnuts (small portion),South Indian,Veg,Trimester 1
Thursday,Snack,Drumstick Leaves Soup,South Indian,Veg,Trimester 1
Thursday,Snack,Ladies’ Finger Stir Fry (small portion),South Indian,Veg,Trimester 1
Thursday,Snack,Bitter Gourd Masala,South Indian,Veg,Trimester 1
Thursday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Thursday,Lunch,Green Gram Curry (mild),South Indian,Veg,Trimester 1
Thursday,Lunch,Cucumber & Carrot Kosambari (fresh salad),South Indian,Veg,Trimester 1
Friday,Breakfast,Papaya (ripe fruit) with Soaked Almonds,South Indian,Veg,Trimester 1
Friday,Snack,Chilli Paneer,South Indian,Veg,Trimester 1
Friday,Snack,Peas & Carrot Stir Fry (small portion),South Indian,Veg,Trimester 1
Friday,Snack,Snake Gourd Poriyal (light),South Indian,Veg,Trimester 1
Friday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Friday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 1
Friday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Saturday,Breakfast,Pomegranate (ripe fruit) with Soaked Walnuts,South Indian,Veg,Trimester 1
Saturday,Snack,Pumpkin Soup,South Indian,Veg,Trimester 1
Saturday,Snack,Colocasia Stir Fry (small portion),South Indian,Veg,Trimester 1
Saturday,Snack,Pineapple,South Indian,Veg,Trimester 1
Saturday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Saturday,Lunch,Vegetable Kurma (mild coconut-based),South Indian,Veg,Trimester 1
Saturday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 1
Monday,Breakfast,Banana (ripe fruit) with Soaked Almonds,South Indian,Veg,Trimester 2
Monday,Breakfast,Mango (ripe fruit),South Indian,Veg,Trimester 2
Monday,Breakfast,Upma (Rava with vegetables),South Indian,Veg,Trimester 2
Monday,Breakfast,Jackfruit,South Indian,Veg,Trimester 2
Monday,Snack,Steamed Sprouts Salad,South Indian,Veg,Trimester 2
Monday,Snack,Chickpea Sundal,South Indian,Veg,Trimester 2
Monday,Snack,Paneer Cubes,South Indian,Veg,Trimester 2
Monday,Snack,Fresh Fruit Bowl,South Indian,Veg,Trimester 2
Monday,Lunch,Steamed Rice,South Indian,Veg,Trimester 2
Monday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 2
Sunday,Lunch,Beans & Carrot Poriyal,South Indian,Veg,Trimester 2
Sunday,Lunch,Mixed Sprouts Curry (light),South Indian,Veg,Trimester 2
Sunday,Lunch,Buttermilk (small cup),South Indian,Veg,Trimester 2
Tuesday,Breakfast,Puttu,South Indian,Veg,Trimester 2
Tuesday,Breakfast,Idli (2–3) with Coconut Chutney,South Indian,Veg,Trimester 2
Tuesday,Breakfast,Pongal,South Indian,Veg,Trimester 2
Tuesday,Breakfast,Masala Dosa,South Indian,Veg,Trimester 2
Tuesday,Snack,Red Lentil Sundal (light),South Indian,Veg,Trimester 2
Tuesday,Snack,Murukku,South Indian,Veg,Trimester 2
Sunday,Snack,Mixture,South Indian,Veg,Trimester 2
Sunday,Snack,MurMur,South Indian,Veg,Trimester 2
Tuesday,Lunch,Steamed Rice,South Indian,Veg,Trimester 2
Tuesday,Lunch,Potato Kurma,South Indian,Veg,Trimester 2
Tuesday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 2
Tuesday,Lunch,Brinjal Pulusu,South Indian,Veg,Trimester 2
Tuesday,Lunch,Buttermilk (small cup),South Indian,Veg,Trimester 2
Wednesday,Breakfast,Poori with potato Curry,South Indian,Veg,Trimester 2
Wednesday,Breakfast,Vegetable Rava Upma (small bowl),South Indian,Veg,Trimester 2
Sunday,Breakfast,Set Dosa with Coconut Chutney,South Indian,Veg,Trimester 2
Sunday,Breakfast,Soft Idli (2, steamed) with Coconut Chutney,South Indian,Veg,Trimester 2
Wednesday,Snack,Red Lentil Sundal (small portion),South Indian,Veg,Trimester 2
Wednesday,Snack,Potato chips,South Indian,Veg,Trimester 2
Wednesday,Snack,Jangri,South Indian,Veg,Trimester 2
Wednesday,Snack,Curd (plain, small bowl),South Indian,Veg,Trimester 2
Wednesday,Lunch,Steamed Rice,South Indian,Veg,Trimester 2
Wednesday,Lunch,Split Green Gram Curry (light),South Indian,Veg,Trimester 2
Sunday,Lunch,Mixed Vegetable Poriyal (beans, carrot, cabbage),South Indian,Veg,Trimester 2
Sunday,Lunch,Veg Biryani,South Indian,Veg,Trimester 2
Sunday,Lunch,Curd rice,South Indian,Veg,Trimester 2
Thursday,Breakfast,Cheese Dosa,South Indian,Veg,Trimester 2
Thursday,Breakfast,Walnuts & Soaked Almonds (small portion),South Indian,Veg,Trimester 2
Thursday,Breakfast,Oats Dosa with Vegetable Kurma (light),South Indian,Veg,Trimester 2
Thursday,Snack,Sweets,South Indian,Veg,Trimester 2
Thursday,Snack,Banana Bajji,South Indian,Veg,Trimester 2
Thursday,Snack,Vegetable Upma (small bowl),South Indian,Veg,Trimester 2
Thursday,Snack,Curd,South Indian,Veg,Trimester 2
Sunday,Lunch,Steamed Rice,South Indian,Veg,Trimester 2
Sunday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 2
Sunday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 2
Thursday,Lunch,Cabbage Curry,South Indian,Veg,Trimester 2
Thursday,Lunch,Cauli Flower curry With Rice,South Indian,Veg,Trimester 2
Saturday,Breakfast,Moong Dal Sundal,South Indian,Veg,Trimester 2
Saturday,Breakfast,Sprouts Upma (small bowl),South Indian,Veg,Trimester 2
Saturday,Snack1,Black-eyed Pea Sundal (small portion),South Indian,Veg,Trimester 2
Saturday,Snack1,Carrot & Cucumber Salad,South Indian,Veg,Trimester 2
Saturday,Snack1,Buttermilk (Moru) (small cup),South Indian,Veg,Trimester 2
Saturday,Snack1,Whole Wheat Chapati (small),South Indian,Veg,Trimester 2
Saturday,Lunch,Steamed Rice,South Indian,Veg,Trimester 2
Saturday,Lunch,Vegetable Kurma (mild),South Indian,Veg,Trimester 2
Saturday,Lunch,Mixed Vegetable Poriyal,South Indian,Veg,Trimester 2
Saturday,Lunch,Curd (plain, small bowl),South Indian,Veg,Trimester 2
Saturday,Dinner,Vegetable Upma (light),South Indian,Veg,Trimester 2
Saturday,Dinner,Plain Dosa with Coconut Chutney (1–2 pcs),South Indian,Veg,Trimester 2
Saturday,Dinner,Ragi Dosa (1–2 pcs),South Indian,Veg,Trimester 2
Saturday,Dinner,Idiyappam with Vegetable Stew,South Indian,Veg,Trimester 2
Saturday,Dinner,Tomato Rasam with Steamed Rice (small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Masala Dosa (1 pc, mild potato filling),South Indian,Veg,Trimester 2
Saturday,Dinner,Idli with Sambar (2 pcs),South Indian,Veg,Trimester 2
Saturday,Dinner,Appam with Coconut Stew (1–2 pcs),South Indian,Veg,Trimester 2
Saturday,Dinner,Set Dosa or Rava Dosa (1–2 pcs),South Indian,Veg,Trimester 2
Saturday,Dinner,Medhu Vada (1 pc, optional),South Indian,Veg,Trimester 2
Saturday,Dinner,Bisi Bele Bath (small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Lemon Rice (small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Coconut Rice (small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Curd Rice (More Chadam, small bowl),South Indian,Veg,Trimester 2
Saturday,Dinner,Tamarind Rice (Puliyogare, small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Coconut Chutney / Tomato-Onion Chutney (small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Poriyal / Thoran (small portion),South Indian,Veg,Trimester 2
Saturday,Dinner,Appalam,South Indian,Veg,Trimester 2
Saturday,Dinner,Payasam (small serving),South Indian,Veg,Trimester 2
Saturday,Dinner,Rava Laddu or Coconut Laddu (1 pc),South Indian,Veg,Trimester 2
Saturday,Dinner,Kemari Bath / Kesari Bath (small portion),South Indian,Veg,Trimester 2
Monday,Breakfast,Fruit salad,South Indian,Veg,Trimester 2
Monday,Snack1,Curdrice,South Indian,Veg,Trimester 2
Monday,Snack1,Spicy yam,South Indian,Veg,Trimester 2
Monday,Snack1,Mangopickle,South Indian,Veg,Trimester 2
Monday,Lunch,Ginger tea,South Indian,Veg,Trimester 2
Monday,Lunch,Chickpeas,South Indian,Veg,Trimester 2
Tuesday,Breakfast,Mango,South Indian,Veg,Trimester 2
Tuesday,Snack1,Mintrice,South Indian,Veg,Trimester 2
Tuesday,Snack1,Crispy potatoes,South Indian,Veg,Trimester 2
Tuesday,Snack1,Roasted papad,South Indian,Veg,Trimester 2
Tuesday,Lunch,Pomegranate,South Indian,Veg,Trimester 2
Tuesday,Lunch,juice,South Indian,Veg,Trimester 2
Tuesday,Lunch,Mixed sprouts,South Indian,Veg,Trimester 2
Wednesday,Breakfast,Orange,South Indian,Veg,Trimester 2
Wednesday,Snack1,Brinjalrice (vangibhaat),South Indian,Veg,Trimester 2
Wednesday,Snack1,with peas,South Indian,Veg,Trimester 2
Wednesday,Snack1,Carrotpalya/poriyal,South Indian,Veg,Trimester 2
Wednesday,Snack1,Cucumber raita,South Indian,Veg,Trimester 2
Wednesday,Lunch,Almond milk,South Indian,Veg,Trimester 2
Wednesday,Lunch,Oatsupma,South Indian,Veg,Trimester 2
Thursday,Breakfast,walnutsalad,South Indian,Veg,Trimester 2
Thursday,Snack1,Vegetable biryaniwith,South Indian,Veg,Trimester 2
Thursday,Snack1,soya chunks (meal,South Indian,Veg,Trimester 2
Thursday,Snack1,maker),South Indian,Veg,Trimester 2
Thursday,Snack1,Onion raita,South Indian,Veg,Trimester 2
Thursday,Lunch,Tender,South Indian,Veg,Trimester 2
Thursday,Lunch,coconut water,South Indian,Veg,Trimester 2
Thursday,Lunch,Puffed rice with,South Indian,Veg,Trimester 2
Thursday,Lunch,peanuts,South Indian,Veg,Trimester 2
Friday,Breakfast,Handful of,South Indian,Veg,Trimester 2
Friday,Breakfast,mixed nuts,South Indian,Veg,Trimester 2
Friday,Breakfast,and dried fruit,South Indian,Veg,Trimester 2
Friday,Snack1,Red lentilsdalwith,South Indian,Veg,Trimester 2
